feature,type,statistic,p_value
tenure,numeric,0.02505719023927979,0.4706327230637773
MonthlyCharges,numeric,0.01735929874437337,0.879309450795938
TotalCharges,numeric,0.017175076995972517,0.8869956985326262
gender,categorical,0.4785058768573104,0.4890998735613171
SeniorCitizen,categorical,0.5293837255655047,0.46686606931350527
Partner,categorical,0.2638215529755733,0.6075067690179797
Dependents,categorical,0.08512890843403473,0.7704635645325233
PhoneService,categorical,0.2113260832640124,0.6457300131685193
MultipleLines,categorical,2.9282949603631296,0.2312750740411281
InternetService,categorical,1.657824718164961,0.43652380937596047
OnlineSecurity,categorical,2.177703010067808,0.33660285848380544
OnlineBackup,categorical,2.8284001088821302,0.2431200184607184
DeviceProtection,categorical,1.546773845251587,0.4614475315466259
TechSupport,categorical,1.6378093727991507,0.44091432957926746
StreamingTV,categorical,2.7336415120323947,0.25491611314199164
StreamingMovies,categorical,4.354725098029774,0.11334006564946857
Contract,categorical,1.0380358871061872,0.5951046874891903
PaperlessBilling,categorical,0.20949083887271375,0.6471667722375565
PaymentMethod,categorical,5.588067643823509,0.13346506300896
